Data;Godzina;Generacja.zrodel.wiatrowych;Generacja.zrodel.fotowoltaicznych
2015-09-27;11;578,138;-
2015-09-27;12;751,513;-
2015-09-27;13;824,675;-
2015-09-27;14;773,700;-
2015-09-27;15;808,238;-
2015-09-27;16;819,175;-
2015-09-27;17;798,238;-
2015-09-27;18;648,075;-
2015-09-27;19;619,125;-
2015-09-27;20;711,150;-
2015-09-27;21;776,213;-
2015-09-27;22;877,675;-
2015-09-27;23;917,825;-
2015-09-27;24;914,650;-
2015-09-28;1;886,338;-
2015-09-28;2;779,225;-
2015-09-28;3;662,263;-
2015-09-28;4;638,525;-
2015-09-28;5;602,813;-
2015-09-28;6;570,925;-
2015-09-28;7;545,800;-
2015-09-28;8;488,800;-
2015-09-28;9;399,500;-
2015-09-28;10;235,338;-
2015-09-28;11;311,213;-
2015-09-28;12;392,963;-
2015-09-28;13;488,813;-
2015-09-28;14;592,000;-
2015-09-28;15;604,038;-
2015-09-28;16;613,600;-
2015-09-28;17;690,875;-
2015-09-28;18;695,388;-
2015-09-28;19;688,488;-
2015-09-28;20;847,050;-
2015-09-28;21;874,350;-
2015-09-28;22;826,450;-
2015-09-28;23;907,138;-
2015-09-28;24;907,788;-
2015-09-29;1;885,313;-
2015-09-29;2;843,688;-
2015-09-29;3;792,175;-
2015-09-29;4;713,675;-
2015-09-29;5;668,600;-
2015-09-29;6;621,363;-
2015-09-29;7;584,325;-
2015-09-29;8;535,013;-
2015-09-29;9;361,763;-
2015-09-29;10;158,825;-
2015-09-29;11;226,925;-
2015-09-29;12;436,125;-
2015-09-29;13;592,613;-
2015-09-29;14;673,950;-
2015-09-29;15;668,738;-
2015-09-29;16;698,025;-
2015-09-29;17;637,988;-
2015-09-29;18;555,325;-
2015-09-29;19;481,413;-
2015-09-29;20;546,825;-
2015-09-29;21;605,225;-
2015-09-29;22;642,650;-
2015-09-29;23;621,863;-
2015-09-29;24;544,675;-
2015-09-30;1;457,050;-
2015-09-30;2;373,713;-
2015-09-30;3;270,563;-
2015-09-30;4;190,475;-
2015-09-30;5;191,363;-
2015-09-30;6;188,950;-
2015-09-30;7;204,775;-
2015-09-30;8;226,963;-
2015-09-30;9;144,375;-
2015-09-30;10;77,613;-
2015-09-30;11;107,725;-
2015-09-30;12;154,513;-
2015-09-30;13;152,363;-
2015-09-30;14;146,338;-
2015-09-30;15;126,213;-
2015-09-30;16;110,800;-
2015-09-30;17;126,025;-
2015-09-30;18;101,325;-
2015-09-30;19;103,475;-
2015-09-30;20;121,575;-
2015-09-30;21;171,013;-
2015-09-30;22;230,725;-
2015-09-30;23;290,463;-
2015-09-30;24;362,513;-
2015-10-01;1;414,475;-
2015-10-01;2;479,913;-
2015-10-01;3;577,000;-
2015-10-01;4;685,138;-
2015-10-01;5;808,800;-
2015-10-01;6;908,975;-
2015-10-01;7;977,300;-
2015-10-01;8;940,525;-
2015-10-01;9;816,225;-
2015-10-01;10;614,813;-
2015-10-01;11;540,700;-
2015-10-01;12;804,713;-
2015-10-01;13;945,563;-
2015-10-01;14;925,588;-
2015-10-01;15;920,975;-
2015-10-01;16;831,975;-
2015-10-01;17;826,125;-
2015-10-01;18;721,888;-
2015-10-01;19;765,063;-
2015-10-01;20;900,113;-
2015-10-01;21;991,225;-
2015-10-01;22;1017,613;-
2015-10-01;23;1055,550;-
2015-10-01;24;1069,288;-
2015-10-02;1;1236,000;-
2015-10-02;2;1365,763;-
2015-10-02;3;1416,988;-
2015-10-02;4;1495,575;-
2015-10-02;5;1541,425;-
2015-10-02;6;1515,875;-
2015-10-02;7;1402,088;-
2015-10-02;8;1311,800;-
2015-10-02;9;1119,588;-
2015-10-02;10;831,138;-
2015-10-02;11;943,375;-
2015-10-02;12;1184,713;-
2015-10-02;13;1219,063;-
2015-10-02;14;1185,288;-
2015-10-02;15;1112,363;-
2015-10-02;16;931,713;-
2015-10-02;17;788,350;-
2015-10-02;18;714,838;-
2015-10-02;19;836,125;-
2015-10-02;20;1185,200;-
2015-10-02;21;1346,588;-
2015-10-02;22;1347,338;-
2015-10-02;23;1327,738;-
2015-10-02;24;1252,300;-
2015-10-03;1;1167,738;-
2015-10-03;2;1085,725;-
2015-10-03;3;928,613;-
2015-10-03;4;779,838;-
2015-10-03;5;570,100;-
2015-10-03;6;462,238;-
2015-10-03;7;428,775;-
2015-10-03;8;347,488;-
2015-10-03;9;279,938;-
2015-10-03;10;195,675;-
2015-10-03;11;162,175;-
2015-10-03;12;216,963;-
2015-10-03;13;249,788;-
2015-10-03;14;249,513;-
2015-10-03;15;299,188;-
2015-10-03;16;337,975;-
2015-10-03;17;394,100;-
2015-10-03;18;390,125;-
2015-10-03;19;522,863;-
2015-10-03;20;854,775;-
2015-10-03;21;1116,538;-
2015-10-03;22;1297,750;-
2015-10-03;23;1379,863;-
2015-10-03;24;1305,113;-
2015-10-04;1;1224,275;-
2015-10-04;2;1109,163;-
2015-10-04;3;994,013;-
2015-10-04;4;947,375;-
2015-10-04;5;932,988;-
2015-10-04;6;874,788;-
2015-10-04;7;842,413;-
2015-10-04;8;761,700;-
2015-10-04;9;562,425;-
2015-10-04;10;304,700;-
2015-10-04;11;247,488;-
2015-10-04;12;306,550;-
2015-10-04;13;398,713;-
2015-10-04;14;478,413;-
2015-10-04;15;469,375;-
2015-10-04;16;470,338;-
2015-10-04;17;427,088;-
2015-10-04;18;379,850;-
2015-10-04;19;466,413;-
2015-10-04;20;593,975;-
2015-10-04;21;657,475;-
2015-10-04;22;662,125;-
2015-10-04;23;574,125;-
2015-10-04;24;509,375;-
2015-10-05;1;369,050;-
2015-10-05;2;303,075;-
2015-10-05;3;219,825;-
2015-10-05;4;177,650;-
2015-10-05;5;136,938;-
2015-10-05;6;102,713;-
2015-10-05;7;104,075;-
2015-10-05;8;88,038;-
2015-10-05;9;75,438;-
2015-10-05;10;42,050;-
2015-10-05;11;33,925;-
2015-10-05;12;39,725;-
2015-10-05;13;80,988;-
2015-10-05;14;74,525;-
2015-10-05;15;68,700;-
2015-10-05;16;65,813;-
2015-10-05;17;54,438;-
2015-10-05;18;69,913;-
2015-10-05;19;134,013;-
2015-10-05;20;229,575;-
2015-10-05;21;301,825;-
2015-10-05;22;423,013;-
2015-10-05;23;485,488;-
2015-10-05;24;495,800;-
2015-10-06;1;495,900;-
2015-10-06;2;469,513;-
2015-10-06;3;530,150;-
2015-10-06;4;589,425;-
2015-10-06;5;539,175;-
2015-10-06;6;561,625;-
2015-10-06;7;656,963;-
2015-10-06;8;644,363;-
2015-10-06;9;617,888;-
2015-10-06;10;632,463;-
2015-10-06;11;670,150;-
2015-10-06;12;693,938;-
2015-10-06;13;750,250;-
2015-10-06;14;786,838;-
2015-10-06;15;799,813;-
2015-10-06;16;842,513;-
2015-10-06;17;971,600;-
2015-10-06;18;1076,913;-
2015-10-06;19;1397,250;-
2015-10-06;20;1744,925;-
2015-10-06;21;1947,838;-
2015-10-06;22;2013,550;-
2015-10-06;23;2099,138;-
2015-10-06;24;2267,013;-
2015-10-07;1;2302,713;-
2015-10-07;2;2256,175;-
2015-10-07;3;2247,313;-
2015-10-07;4;2183,863;-
2015-10-07;5;2216,538;-
2015-10-07;6;2234,038;-
2015-10-07;7;2353,400;-
2015-10-07;8;2377,425;-
2015-10-07;9;2334,363;-
2015-10-07;10;2404,838;-
2015-10-07;11;2462,238;-
2015-10-07;12;2543,975;-
2015-10-07;13;2427,413;-
2015-10-07;14;2310,113;-
2015-10-07;15;2209,175;-
2015-10-07;16;2100,525;-
2015-10-07;17;2022,188;-
2015-10-07;18;1797,063;-
2015-10-07;19;1913,425;-
2015-10-07;20;2101,925;-
2015-10-07;21;2198,425;-
2015-10-07;22;2261,463;-
2015-10-07;23;2200,250;-
2015-10-07;24;2051,538;-
2015-10-08;1;1876,050;-
2015-10-08;2;1728,663;-
2015-10-08;3;1627,663;-
2015-10-08;4;1554,388;-
2015-10-08;5;1549,313;-
2015-10-08;6;1566,500;-
2015-10-08;7;1519,088;-
